Activision,atvi,0.56%,Tuesday,May-4,4:05 PM ET
Adobe,adbe,0.99%,Tuesday,Jun-22,4:05 PM ET
Advanced,amd,3.12%,Tuesday,Apr-27,4:10 PM ET
Alexion,alxn,0.47%,Monday,May-3,8:00 AM ET
Align,algn,0.12%,Wednesday,Apr-28,4:00 PM ET
Alphabet,goog,1.11%,Tuesday,Apr-27,4:15 PM ET
Alphabet,googl,1.13%,Tuesday,Apr-27,4:30 PM ET
Amazon.com,amzn,1.58%,Thursday,Apr-29,4:00 PM ET
Amgen,amgn,1.44%,Tuesday,Apr-27,4:00 PM ET
Analog,adi,1.84%,Wednesday,May-19,8:00 AM ET
ANSYS,anss,0.29%,Wednesday,May-5,4:10 PM ET
Apple,aapl,1.17%,Wednesday,Apr-28,4:30 PM ET
Applied,amat,2.44%,Thursday,May-20,4:00 PM ET
ASML,asml,1.28%,Wednesday,Apr-21,1:00 AM ET
Autodesk,adsk,0.30%,Thursday,May-27,4:05 PM ET
Automatic,adp,0.27%,Wednesday,Apr-28,7:00 AM ET
Baidu,bidu,0.04%,Wednesday,May-19,4:30 PM ET
Biogen,biib,4.02%,Thursday,Apr-22,7:00 AM ET
BioMarin,bmrn,0.47%,Thursday,Apr-29,4:05 PM ET
Booking,bkng,0.45%,Wednesday,May-26,4:20 PM ET
Broadcom,avgo,1.02%,Thursday,Jun-3,4:15 PM ET
Cadence,cdns,1.02%,Monday,Apr-26,4:05 PM ET
CDW,cdw,0.53%,Wednesday,May-5,7:00 AM ET
Cerner,cern,0.07%,Wednesday,May-5,7:00 AM ET
Charter,chtr,0.73%,Friday,Apr-30,7:00 AM ET
Check,chkp,0.13%,Monday,Apr-26,5:00 AM ET
Cintas,ctas,0.26%,Wednesday,Jun-16,8:30 AM ET
Cisco,csco,0.83%,Thursday,May-27,4:05 PM ET
Citrix,ctxs,0.85%,Thursday,Apr-29,6:00 AM ET
Cognizant,ctsh,0.26%,Wednesday,May-5,4:00 PM ET
Comcast,cmcsa,0.48%,Thursday,Apr-29,7:00 AM ET
Copart,cprt,0.28%,Thursday,May-20,4:30 PM ET
Costco,cost,0.76%,Thursday,Jun-3,4:15 PM ET
CSX,csx,0.85%,Tuesday,Jul-20,4:00 PM ET
DexCom,dxcm,2.18%,Thursday,Apr-29,4:00 PM ET
DocuSign,docu,1.06%,Thursday,Jun-10,4:05 PM ET
Dollar,dltr,1.30%,Wednesday,Jun-2,7:30 AM ET
eBay,ebay,1.68%,Wednesday,Apr-28,4:05 PM ET
Electronic,ea,0.16%,Tuesday,May-11,4:00 PM ET
Exelon,exc,1.31%,Wednesday,May-5,6:50 AM ET
Expedia,expe,0.35%,Thursday,May-6,4:00 PM ET
Facebook,fb,1.64%,Wednesday,Apr-28,4:05 PM ET
Fastenal,fast,0.60%,Tuesday,Jul-13,6:50 AM ET
Fiserv,fisv,0.15%,Tuesday,Apr-27,0:00 AM ET
Fox,fox,0.70%,Wednesday,May-5,4:05 PM ET
Fox,foxa,1.27%,Wednesday,May-5,8:05 AM ET
Gilead,gild,1.72%,Thursday,Apr-29,4:00 PM ET
IDEXX,idxx,0.96%,Tuesday,May-4,6:30 AM ET
Illumina,ilmn,1.26%,Tuesday,Apr-27,4:05 PM ET
Incyte,incy,0.64%,Tuesday,May-4,7:00 AM ET
Intel,intc,1.77%,Thursday,Apr-22,After the close
Intuit,intu,0.53%,Tuesday,May-25,4:00 PM ET
Intuitive,isrg,3.56%,Tuesday,Jul-20,4:05 PM ET
JD.com,jd,0.52%,Thursday,Jun-10,5:30 AM ET
KLA,klac,2.02%,Thursday,Apr-29,4:05 PM ET
Lam,lrcx,4.17%,Wednesday,Apr-21,4:05 PM ET
Liberty,lbtya,3.07%,Monday,May-17,8:00 PM ET
Liberty,lbtyk,3.08%,Monday,May-17,After the close
lululemon,lulu,3.69%,Tuesday,Jun-29,4:05 PM ET
Marriott,mar,1.30%,Monday,May-10,7:00 AM ET
Maxim,mxim,1.77%,Tuesday,Apr-27,4:00 PM ET
MercadoLibre,meli,0.86%,Monday,May-31,4:20 PM ET
Microchip,mchp,2.12%,Thursday,May-6,After the close
Micron,mu,5.34%,Wednesday,Jun-30,4:00 PM ET
Microsoft,msft,1.31%,Tuesday,Apr-27,4:10 PM ET
Moderna,mrna,0.83%,Thursday,May-6,7:00 AM ET
Mondelez,mdlz,0.03%,Tuesday,Apr-27,4:05 PM ET
Monster,mnst,0.49%,Thursday,May-27,4:10 PM ET
NetApp,ntap,0.54%,Wednesday,May-26,4:00 PM ET
NetEase,ntes,2.22%,Thursday,May-27,3:30 AM ET
Netflix,nflx,0.02%,Tuesday,Jul-20,4:00 PM ET
NVIDIA,nvda,3.32%,Wednesday,May-26,4:20 PM ET
NXP,nxpi,2.43%,Monday,Apr-26,4:00 PM ET
O'Reilly,orly,0.69%,Wednesday,Apr-28,4:30 PM ET
PACCAR,pcar,1.52%,Tuesday,Apr-27,8:00 AM ET
Paychex,payx,0.06%,Tuesday,Jul-6,8:30 AM ET
PayPal,pypl,0.99%,Wednesday,May-5,4:15 PM ET
PepsiCo,pep,0.62%,Thursday,Jul-15,6:00 AM ET
QUALCOMM,qcom,2.36%,Wednesday,Apr-28,4:00 PM ET
Regeneron,regn,3.17%,Thursday,May-6,6:30 AM ET
Ross,rost,0.37%,Tuesday,Jun-1,4:00 PM ET
Seattle,sgen,2.60%,Thursday,Apr-29,4:00 PM ET
Sirius,siri,1.41%,Wednesday,Apr-28,7:00 AM ET
Skyworks,swks,1.71%,Thursday,Apr-29,4:00 PM ET
Splunk,splk,0.93%,Wednesday,Jun-2,4:00 PM ET
Starbucks,sbux,0.70%,Tuesday,Apr-27,4:05 PM ET
Synopsys,snps,1.72%,Wednesday,May-19,4:05 PM ET
T-Mobile,tmus,0.30%,Tuesday,May-4,4:00 PM ET
Take-Two,ttwo,1.09%,Tuesday,May-18,4:05 PM ET
Tesla,tsla,3.28%,Monday,Apr-26,4:10 PM ET
Texas,txn,1.64%,Tuesday,Apr-27,4:00 PM ET
The,khc,1.47%,Thursday,Apr-29,7:00 AM ET
Trip.com,tcom,0.74%,Wednesday,Jun-2,5:00 PM ET
Ulta,ulta,0.37%,Thursday,Jun-10,4:05 PM ET
VeriSign,vrsn,0.60%,Thursday,Apr-22,4:05 PM ET
Verisk,vrsk,1.01%,Tuesday,May-4,4:10 PM ET
Vertex,vrtx,1.72%,Thursday,Apr-29,4:00 PM ET
Walgreens,wba,2.72%,Wednesday,Jun-30,7:00 AM ET
Western,wdc,4.61%,Thursday,Apr-29,4:00 PM ET
Workday,wday,0.53%,Thursday,May-27,4:00 PM ET
Xcel,xel,0.28%,Thursday,Apr-29,6:00 AM ET
Xilinx,xlnx,3.05%,Tuesday,May-4,4:20 PM ET
Zoom,zm,1.72%,Monday,May-31,4:05 PM ET
